,timeStamp,price,balance
28,2022-11-14,13.046276911362344,15473.8
29,2022-11-15,13.118735895251165,15559.74
30,2022-11-16,13.49637547364594,16007.65
31,2022-11-17,13.102799104901845,15540.84
32,2022-11-18,12.89871909794256,15298.78
33,2022-11-19,12.995872221171483,15414.01
34,2022-11-20,12.894131410560663,15293.34
35,2022-11-21,12.228527754261226,14503.89
36,2022-11-22,11.857641971530047,14063.99
37,2022-11-23,12.301529525837193,14590.48
38,2022-11-24,13.012899217058935,15434.21
39,2022-11-25,12.944684047712025,15353.3
40,2022-11-26,12.840907462381788,15230.22
41,2022-11-27,12.755611863053435,15129.05
42,2022-11-28,12.898115785689612,15298.07
43,2022-11-29,12.465970957374045,14785.51
44,2022-11-30,12.486917731941459,14810.36
45,2022-12-01,13.194818705583302,15649.98
46,2022-12-02,12.885298827044094,15282.87
47,2022-12-03,13.627053091873089,16162.64
48,2022-12-04,13.462321365298703,15967.26
49,2022-12-05,13.94513771720273,16539.91
50,2022-12-06,13.610338803087512,16142.81
51,2022-12-07,13.66611135427207,16208.96
52,2022-12-08,13.277326945373922,15747.84
53,2022-12-09,13.407864274945192,15902.67
54,2022-12-10,13.479159269128258,15987.23
55,2022-12-11,13.475481942571498,15982.86
56,2022-12-12,12.97760496317501,15392.35
57,2022-12-13,12.988917020010527,15405.76
58,2022-12-14,13.735884497918219,16291.72
59,2022-12-15,13.73898258889534,16295.4
60,2022-12-16,13.136209060619342,15580.46
61,2022-12-17,11.822196047920688,14021.95
62,2022-12-18,11.972959529330831,14200.77
63,2022-12-19,11.919694184365385,14137.59
64,2022-12-20,11.373129364215771,13489.33
65,2022-12-21,11.973443294619408,14201.34
66,2022-12-22,11.691667566892972,13867.14
67,2022-12-23,11.851021209966024,14056.14
68,2022-12-24,11.790231659850457,13984.04
69,2022-12-25,11.687733236338055,13862.47
70,2022-12-26,11.68846545243489,13863.34
71,2022-12-27,11.699717502149086,13876.68
72,2022-12-28,11.647523601195244,13814.78
73,2022-12-29,11.197757658318322,13281.32
74,2022-12-30,10.98932021883577,13034.1
75,2022-12-31,10.870447325340335,12893.11
76,2023-01-01,10.88963361941692,12915.87
77,2023-01-02,10.862361279595003,12883.52
78,2023-01-03,11.153299074006373,13228.59
79,2023-01-04,11.385008261253798,13503.42
80,2023-01-05,12.082606200302077,14330.82
81,2023-01-06,11.74568496014289,13931.2
82,2023-01-07,11.784937001692171,13977.76
83,2023-01-08,11.747206074004959,13933.01
84,2023-01-09,12.026260444541693,14263.99
85,2023-01-10,12.211384121023688,14483.56
86,2023-01-11,12.729321160649132,15097.87
87,2023-01-12,15.92176476995798,18884.33
88,2023-01-13,15.415597415850824,18283.98
89,2023-01-14,15.953889852104112,18922.43
90,2023-01-15,17.003317606116955,20167.12
91,2023-01-16,16.770235425063305,19890.67
92,2023-01-17,16.7378601813918,19852.27
93,2023-01-18,17.155077874482156,20347.12
94,2023-01-19,15.820540897837352,18764.27
95,2023-01-20,16.202449974789992,19217.24
96,2023-01-21,17.515338456352886,20774.42
97,2023-01-22,16.89195623249759,20035.04
98,2023-01-23,17.386182691226722,20621.23
99,2023-01-24,18.054756252801276,21414.2
100,2023-01-25,16.999768570821203,20162.92
101,2023-01-26,17.844860737884833,21165.25
102,2023-01-27,18.112112249870727,21482.23
103,2023-01-28,21.42886713268113,25416.14
104,2023-01-29,20.56093228938241,24386.7
105,2023-01-30,21.11906025752084,25048.68
106,2023-01-31,19.740195335322973,23413.25
107,2023-02-01,19.861474360016953,23557.1
108,2023-02-02,20.97086923036958,24872.92
109,2023-02-03,21.2272590021901,25177.02
110,2023-02-04,21.373042832679655,25349.92
111,2023-02-05,21.03662549223646,24950.91
112,2023-02-06,20.118153553504253,23861.54
113,2023-02-07,19.620106332926436,23270.82
114,2023-02-08,20.890103460527587,24777.13
115,2023-02-09,20.100084178139642,23840.11
116,2023-02-10,17.862495989569513,21186.17
117,2023-02-11,17.80715104198146,21120.53
118,2023-02-12,18.04544548540047,21403.16
119,2023-02-13,17.53852654343037,20801.92
