,timeStamp,price
0,Dec 30 2022,10.771547176043951
1,Dec 30 2022,10.809105182663696
2,Dec 30 2022,10.808878609958313
3,Dec 30 2022,10.852024738282374
4,Dec 30 2022,10.842901699532051
5,Dec 30 2022,10.8904506641472
6,Dec 30 2022,10.881371441315645
7,Dec 30 2022,10.81601351058996
8,Dec 31 2022,10.870772143972172
9,Dec 31 2022,10.884826437723484
10,Dec 31 2022,10.868359956418342
11,Dec 31 2022,10.895022504733651
12,Dec 31 2022,10.859574862043173
13,Dec 31 2022,10.883418613212216
14,Dec 31 2022,10.875983840711307
15,Dec 31 2022,10.887514743107165
16,Dec 31 2022,10.925498018482704
17,Dec 31 2022,10.94984425293946
18,Dec 31 2022,10.951503175747984
19,Dec 31 2022,10.966508406891395
20,Dec 31 2022,10.948108421042498
21,Dec 31 2022,10.965838259244705
22,Dec 31 2022,10.982651895859615
23,Dec 31 2022,10.992403601290933
24,Dec 31 2022,10.977067513457486
25,Dec 31 2022,10.98075521466308
26,Dec 31 2022,10.972989750179845
27,Dec 31 2022,10.978628785651185
28,Dec 31 2022,10.98872254154294
29,Dec 31 2022,10.970707367152599
30,Dec 31 2022,10.933241826402991
31,Dec 31 2022,10.885818485978607
32,Jan 01 2023,10.900574574228827
33,Jan 01 2023,10.855600601921614
34,Jan 01 2023,10.848154008606086
35,Jan 01 2023,10.852003824955062
36,Jan 01 2023,10.814428069194285
37,Jan 01 2023,10.730235117553823
38,Jan 01 2023,10.74590987206216
39,Jan 01 2023,10.75196542609712
40,Jan 01 2023,10.717571110759366
41,Jan 01 2023,10.677846627402749
42,Jan 01 2023,10.699599238624689
43,Jan 01 2023,10.684266221391297
44,Jan 01 2023,10.753504898195763
45,Jan 01 2023,10.770967111172752
46,Jan 01 2023,10.727045580861073
47,Jan 01 2023,10.742991902263444
48,Jan 01 2023,10.75082564049376
49,Jan 01 2023,10.759526086025796
50,Jan 01 2023,10.834316918135432
51,Jan 01 2023,10.858735170707964
52,Jan 01 2023,10.885024545873861
53,Jan 01 2023,10.886358033957983
54,Jan 01 2023,10.874278239193304
55,Jan 01 2023,10.869822100728829
56,Jan 02 2023,10.868805741607293
57,Jan 02 2023,10.812828385518545
58,Jan 02 2023,10.759104457928366
59,Jan 02 2023,10.77644004267211
60,Jan 02 2023,10.8469307435493
61,Jan 02 2023,10.854359798776228
62,Jan 02 2023,10.85774943757983
63,Jan 02 2023,10.875066400957484
64,Jan 02 2023,11.149187962512546
65,Jan 02 2023,11.151493666699125
66,Jan 02 2023,11.147505401696987
67,Jan 02 2023,11.154697710022626
68,Jan 02 2023,11.145991414467273
69,Jan 02 2023,11.161682818047769
70,Jan 02 2023,11.136971105307309
71,Jan 02 2023,11.14182548621254
72,Jan 02 2023,11.186032655358959
73,Jan 02 2023,11.18074052172228
74,Jan 02 2023,11.1475530664156
75,Jan 02 2023,11.181886148700654
76,Jan 02 2023,11.194496302464602
77,Jan 02 2023,11.181510707127414
78,Jan 02 2023,11.213005207348305
79,Jan 02 2023,11.142000909649958
80,Jan 03 2023,11.156532530136275
81,Jan 03 2023,11.182138067630598
82,Jan 03 2023,11.082309222310819
83,Jan 03 2023,11.115328069210488
84,Jan 03 2023,11.139885707384346
85,Jan 03 2023,11.189567313314473
86,Jan 03 2023,11.299105835066872
87,Jan 03 2023,11.269869846990668
88,Jan 03 2023,11.274870222622111
89,Jan 03 2023,11.214715534831795
90,Jan 03 2023,11.302109135043839
91,Jan 03 2023,11.30959720194221
92,Jan 03 2023,11.300147477721714
93,Jan 03 2023,11.305633295706334
94,Jan 03 2023,11.367840737968724
95,Jan 03 2023,11.32971023218004
96,Jan 03 2023,11.382947498381123
97,Jan 03 2023,11.38834848879879
98,Jan 03 2023,11.364311450777485
99,Jan 03 2023,11.314154773735016
100,Jan 03 2023,11.30141831402375
101,Jan 03 2023,11.329462379395421
102,Jan 03 2023,11.346249190109734
103,Jan 03 2023,11.342216666439164
104,Jan 04 2023,11.385008261253798
105,Jan 04 2023,11.381570990236366
106,Jan 04 2023,11.528827587041897
107,Jan 04 2023,11.68401801712527
108,Jan 04 2023,11.831321944969515
109,Jan 04 2023,11.831321944969515
110,Jan 04 2023,11.751368197371551
111,Jan 04 2023,11.800186724832539
112,Jan 04 2023,11.899225643455848
113,Jan 04 2023,11.904024890536478
114,Jan 04 2023,11.884300700247621
115,Jan 04 2023,11.820803698249753
116,Jan 04 2023,11.841063741493965
117,Jan 04 2023,11.786440260593166
118,Jan 04 2023,11.794497477006187
119,Jan 04 2023,11.865725567455076
120,Jan 04 2023,11.907510244401776
121,Jan 04 2023,12.091662828710293
122,Jan 04 2023,12.009291005854642
123,Jan 04 2023,12.094684120898783
124,Jan 04 2023,12.204521413215575
125,Jan 04 2023,12.131763255393052
126,Jan 04 2023,12.004025018159824
127,Jan 04 2023,11.979821078832451
128,Jan 04 2023,12.007446215969349
129,Jan 05 2023,12.082606200302077
130,Jan 05 2023,12.039989996980664
131,Jan 05 2023,12.063363621572034
132,Jan 05 2023,12.083680944005312
133,Jan 05 2023,12.09869989596512
134,Jan 05 2023,12.10943610198004
135,Jan 05 2023,12.08068176499023
136,Jan 05 2023,12.043438330037905
137,Jan 05 2023,11.987081243432975
138,Jan 05 2023,11.922399774652234
139,Jan 05 2023,11.897714032876443
140,Jan 05 2023,11.90943190902019
141,Jan 05 2023,11.896158755389543
142,Jan 05 2023,11.86704927248271
143,Jan 05 2023,11.790551180419962
144,Jan 05 2023,11.81520617128622
145,Jan 05 2023,11.783212154086131
