,account,balance_avax,balance_usd
0,0xEE576ebC6727D7Da876eDCd0429CdB48f69c3676,557.01,9725.48
1,0x0B4F85B173FA22f69308fFDD00bc556E987002df,0.59,10.34
2,stakedjoe,1700.0,29682.0
